               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,           precision,              recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080273,            0.038413,            0.032164,             0.22672,             0.36619,             0.22332,            0.052255,            0.057153,            0.029206,            0.017089,             0.00198,             0.00198,             0.08218
                   1,            0.058292,            0.024904,            0.017311,             0.37938,              0.4618,             0.36251,             0.11175,            0.049743,            0.022961,            0.011564,           0.0039656,           0.0039656,            0.064266
                   2,            0.051437,            0.021489,            0.011735,             0.62366,              0.5291,             0.50477,             0.16922,            0.050952,            0.021556,           0.0076835,           0.0059339,           0.0059339,            0.046334
                   3,            0.046674,              0.0204,            0.010457,             0.73459,             0.55362,             0.52353,             0.21756,            0.045196,            0.020934,            0.006545,           0.0078718,           0.0078718,            0.028372
                   4,            0.044415,            0.019869,           0.0096566,             0.72523,             0.47374,              0.5196,             0.22589,             0.04264,            0.022302,            0.013811,           0.0097667,           0.0097667,            0.010367
                   5,            0.040202,            0.020303,           0.0093099,             0.64637,             0.63081,             0.58183,             0.24792,              0.0396,            0.022371,           0.0064774,           0.0097286,           0.0097286,           0.0097286
                   6,            0.036345,            0.019271,           0.0088746,             0.66762,             0.64461,             0.63841,             0.30798,            0.038035,            0.021835,           0.0056257,           0.0097286,           0.0097286,           0.0097286
                   7,            0.034736,            0.018688,           0.0072655,             0.82358,             0.67879,               0.726,             0.33905,             0.03742,            0.021117,           0.0050051,            0.009611,            0.009611,            0.009611
                   8,            0.032244,            0.017906,            0.007114,              0.7951,             0.69629,               0.717,             0.35427,            0.036244,            0.020842,           0.0047331,           0.0094733,           0.0094733,           0.0094733
                   9,            0.032047,            0.017619,           0.0069203,             0.80516,             0.65452,             0.66412,             0.32106,            0.037289,            0.021036,           0.0046331,           0.0093162,           0.0093162,           0.0093162
                  10,            0.030949,             0.01755,           0.0066234,             0.81448,             0.69263,             0.69289,             0.33741,            0.035545,             0.02092,           0.0042313,           0.0091406,           0.0091406,           0.0091406
                  11,            0.030297,            0.017322,            0.006193,             0.82079,             0.69486,             0.72479,             0.35608,            0.035621,            0.020435,           0.0041646,           0.0089472,           0.0089472,           0.0089472
                  12,            0.029095,            0.016942,           0.0059015,             0.77482,             0.72135,             0.72613,             0.36954,            0.034216,            0.020697,           0.0040632,            0.008737,            0.008737,            0.008737
                  13,            0.029207,             0.01729,           0.0056417,             0.83973,              0.6903,             0.72181,             0.36596,            0.034186,            0.020609,           0.0041729,           0.0085111,           0.0085111,           0.0085111
                  14,            0.028508,            0.016663,           0.0055996,             0.82962,             0.69719,             0.70366,             0.34718,            0.035154,            0.021059,           0.0035259,           0.0082705,           0.0082705,           0.0082705
                  15,            0.028555,            0.016769,            0.005283,              0.7706,             0.69791,             0.69076,             0.34415,              0.0358,            0.020804,           0.0036976,           0.0080164,           0.0080164,           0.0080164
                  16,            0.027717,            0.016311,           0.0049649,             0.80865,              0.7193,             0.73736,             0.38802,             0.03448,            0.020462,           0.0033146,             0.00775,             0.00775,             0.00775
                  17,            0.027115,            0.016264,           0.0049692,             0.81472,             0.70715,             0.71883,             0.37375,            0.035227,            0.020308,           0.0035135,           0.0074727,           0.0074727,           0.0074727
                  18,             0.02657,            0.015573,           0.0046662,              0.8007,             0.71733,             0.70695,             0.34967,            0.034516,             0.02089,           0.0032641,           0.0071857,           0.0071857,           0.0071857
                  19,            0.026027,            0.015849,            0.004584,             0.79673,             0.70394,             0.70913,             0.36534,            0.034759,            0.020924,           0.0036608,           0.0068906,           0.0068906,           0.0068906
                  20,            0.025577,            0.015845,            0.004543,              0.7749,              0.6983,             0.68182,             0.34093,             0.03448,            0.021183,           0.0039201,           0.0065886,           0.0065886,           0.0065886
                  21,            0.025519,            0.015614,           0.0042495,             0.82488,             0.71833,             0.74075,             0.38066,             0.03351,            0.020669,           0.0033512,           0.0062814,           0.0062814,           0.0062814
                  22,            0.025203,            0.015313,           0.0043975,             0.81138,             0.73084,             0.73287,             0.37312,            0.033572,            0.020842,           0.0034202,           0.0059704,           0.0059704,           0.0059704
                  23,            0.024927,             0.01553,           0.0041405,             0.81605,             0.72557,             0.73688,             0.36894,            0.033929,            0.020559,            0.003392,            0.005657,            0.005657,            0.005657
                  24,            0.024658,            0.015549,           0.0040193,             0.78656,             0.74091,             0.71361,             0.35463,            0.033808,            0.021142,           0.0035432,            0.005343,            0.005343,            0.005343
                  25,            0.024175,             0.01519,            0.003952,             0.75446,             0.73406,             0.72505,             0.37405,             0.03368,             0.02104,           0.0032837,           0.0050296,           0.0050296,           0.0050296
                  26,            0.023591,            0.015058,           0.0038137,             0.81506,              0.7092,             0.73076,             0.38119,            0.033964,            0.020845,           0.0029014,           0.0047186,           0.0047186,           0.0047186
                  27,            0.023417,            0.014729,           0.0033925,             0.84327,             0.73719,             0.74744,             0.37168,            0.033878,            0.021176,           0.0028345,           0.0044114,           0.0044114,           0.0044114
                  28,            0.023102,            0.014593,           0.0035457,             0.83736,             0.71289,             0.72168,             0.37961,            0.033802,            0.021239,           0.0029546,           0.0041094,           0.0041094,           0.0041094
                  29,            0.023113,            0.014973,           0.0033178,             0.81015,             0.75626,             0.72465,             0.37606,             0.03325,            0.021084,           0.0031755,           0.0038143,           0.0038143,           0.0038143
                  30,            0.022976,            0.014497,           0.0034596,             0.82548,             0.72248,             0.72908,             0.38019,            0.033317,            0.021084,           0.0033964,           0.0035273,           0.0035273,           0.0035273
                  31,            0.022789,            0.014669,           0.0033589,             0.83539,             0.74795,             0.75107,             0.38151,            0.033101,            0.020957,           0.0030975,             0.00325,             0.00325,             0.00325
                  32,            0.022703,            0.014456,           0.0031696,             0.81236,             0.74701,             0.73978,             0.37661,            0.033598,            0.020754,           0.0033198,           0.0029836,           0.0029836,           0.0029836
                  33,            0.022155,            0.013939,           0.0030131,             0.80092,             0.74669,             0.73387,             0.36962,            0.033657,            0.020923,           0.0033245,           0.0027295,           0.0027295,           0.0027295
                  34,            0.021562,            0.014066,           0.0028557,             0.77822,             0.73212,             0.72053,             0.37106,            0.033506,            0.021018,           0.0036479,           0.0024889,           0.0024889,           0.0024889
                  35,            0.021644,             0.01411,           0.0030414,             0.80901,             0.75276,             0.73104,             0.37106,            0.033535,            0.021221,           0.0035486,            0.002263,            0.002263,            0.002263
                  36,            0.021599,            0.013614,           0.0029448,             0.83587,             0.72295,             0.73319,             0.37945,            0.033714,            0.021336,           0.0034464,           0.0020528,           0.0020528,           0.0020528
                  37,            0.021612,            0.013885,            0.002913,             0.82297,              0.7252,             0.71416,              0.3696,            0.033382,            0.021204,            0.003447,           0.0018594,           0.0018594,           0.0018594
                  38,            0.021174,            0.013354,           0.0029839,             0.79764,             0.71745,             0.70553,             0.36263,            0.033271,            0.021388,             0.00388,           0.0016838,           0.0016838,           0.0016838
                  39,             0.02131,            0.013839,           0.0028386,             0.78949,             0.75438,             0.72786,             0.37961,            0.033131,            0.021342,            0.003554,           0.0015267,           0.0015267,           0.0015267
                  40,            0.021381,            0.013876,           0.0027745,             0.81218,             0.73671,             0.72156,             0.37327,            0.032924,            0.021276,           0.0036628,            0.001389,            0.001389,            0.001389
                  41,            0.020876,            0.013419,           0.0026847,             0.81111,              0.7162,             0.71258,             0.36907,             0.03314,            0.021376,           0.0037648,           0.0012714,           0.0012714,           0.0012714
                  42,            0.020589,            0.012893,           0.0027389,             0.83719,             0.72184,               0.731,             0.38503,             0.03297,            0.021363,           0.0035777,           0.0011743,           0.0011743,           0.0011743
                  43,            0.021052,            0.013996,           0.0026825,             0.82598,             0.72249,             0.73026,             0.38204,            0.032855,            0.021429,             0.00357,           0.0010983,           0.0010983,           0.0010983
